queue,n_threads,throughput_mops_mean,throughput_mops_std,throughput_mops_min,throughput_mops_max,e2e_p50_mean,e2e_p50_std,e2e_p50_min,e2e_p50_max,e2e_mean_mean,e2e_mean_std,e2e_mean_min,e2e_mean_max,e2e_p99_mean,e2e_p99_std,e2e_p99_min,e2e_p99_max,e2e_p999_mean,e2e_p999_std,e2e_p999_min,e2e_p999_max,enq_p50_mean,enq_p50_std,enq_p50_min,enq_p50_max,deq_p50_mean,deq_p50_std,deq_p50_min,deq_p50_max,n_trials
TwoLockQueue,4,3.9186708374134183,0.07244980973344006,3.8411139230376814,4.015728269053794,1727.4,40.134772953138786,1663.0,1769.0,2119.857382,32.033940437113976,2081.6586,2152.64823,7561.625999999987,460.2798075410207,7141.029999999984,8271.029999999984,11430.424600000095,854.2486767553055,10766.046000000177,12752.003000000012,308.0,35.65809865935086,262.0,340.0,541.6,30.86745859315276,493.0,573.0,5
TwoLockQueue,8,3.7038980443231253,0.07651069568450762,3.585685272077876,3.773139959910388,3614.4,171.2579925142182,3388.0,3851.0,4393.49288,80.0573436034409,4292.91142,4509.61362,14140.819999999989,1418.4272347744877,12739.01999999999,16193.009999999995,20786.21620000006,2797.4604840990582,18199.035000000134,24825.027000000104,413.8,155.57216974767692,293.0,678.0,849.4,282.008510509878,581.0,1267.0,5
TwoLockQueue,16,3.559669148227338,0.022353442717723167,3.5322849928480426,3.582323472614816,8220.5,334.653925720288,7764.0,8662.0,9079.342472,61.703710595826635,9005.2594,9152.41067,25575.49199999995,3918.573905857836,20889.01999999999,30479.099999999948,38667.46840000026,7077.151821485591,30579.114000000438,47398.07500000029,443.1,128.13976744164944,312.0,634.5,2289.1,1378.2585207427524,717.0,4513.0,5
TwoLockQueue,32,3.407598398203762,0.06860225106497722,3.330427881925924,3.5183038843357597,19950.0,2963.0113693673197,14821.5,22489.5,19310.658988,362.4921475259704,18900.60985,19799.33039,42819.85399999997,10663.921572211597,35919.03999999998,61539.07999999996,66935.3298000005,16544.57253596153,54010.051000000196,95026.27100000104,440.3,197.99671714450216,332.0,792.5,11900.7,4935.504579067879,3230.0,15620.0,5
TwoLockQueue,48,2.988909360324084,0.037067333391831096,2.9303805679138586,3.0261120370698724,36176.4,1522.8274032207323,35042.0,38844.0,32313.553148,464.36057717165863,31915.04842,33022.11615,51627.447999999975,3237.8498715768114,47322.029999999984,54904.0,71867.28720000034,10342.209011243454,61704.004000000015,84449.00200000001,423.6,56.74328154063704,323.0,459.0,22537.2,1636.8934601860926,21335.0,25422.0,5
TwoLockQueue,64,2.946024883541554,0.02840763473843992,2.918276848716984,2.9790188632405363,50610.7,2266.1487594595374,48158.5,53131.0,44073.892697999996,664.6321241545753,43062.94568,44771.8375,64771.02799999998,1820.6083985085834,61665.029999999984,66428.02999999998,80389.10080000115,7714.909844120872,75917.31700000122,94089.54200000208,386.6,76.9564812085376,332.0,508.0,31731.5,2457.428839254557,29081.0,34423.0,5
TwoLockQueue,96,2.60990964333169,0.02522613140648964,2.578383877043319,2.6467973063323247,82789.6,1532.3050610110265,81056.0,84200.0,74173.35986,1027.4340003580455,72730.56323,75625.41865,98344.23399999998,1944.2939705276217,95067.07999999996,99981.01,113817.83200000013,8291.20547363183,106606.001,127865.01500000006,549.1,130.99446553194528,424.0,761.5,48996.9,1530.6488983434447,47207.0,50515.0,5
TwoLockQueue,144,2.6119279812910734,0.023167603154039994,2.583894625283876,2.64555070996011,128191.0,3114.4558914840973,125189.0,131984.0,108894.89935268948,880.5599125588873,107350.83026301353,109536.06755368489,146176.51999999996,3325.9904467691986,143405.79999999996,150380.39999999994,157325.28000000017,1608.8530792462868,155325.66000000003,159305.4400000003,459.0,45.689167206242665,401.0,520.0,77246.4,3316.918343884877,74461.0,81203.0,5
TwoLockQueue,192,2.510295655835973,0.03011019583366126,2.4819509168352543,2.5579110393178905,176656.1,3818.005261258815,171677.0,181213.5,154525.920008,2081.9092186989647,150877.06864,155927.81725,199994.07999999996,4712.756864813833,192775.02999999997,204180.02,220549.0374000009,6873.724783009738,214673.10700000043,231835.44800000172,570.8,69.67567724823347,484.0,673.0,105409.6,3719.241091943354,100468.0,109664.0,5
MSQueue,1,5.645798313970975,0.003244370608889734,5.640630164151151,5.649301928706987,286.4,0.54772255750517,286.0,287.0,290.81503000000004,0.3370477613781376,290.30785,291.10367,319.6,0.8944271909999123,319.0,321.0,350.4006000000023,1.8168379949801459,348.0,353.00100000000384,131.4,0.5477225575051635,131.0,132.0,41.0,0.0,41.0,41.0,5
